cohort_id,hypothesis_id,family_id,analysis_role,comparison_axis,target_context,reference_context,tissue_scope,population_scope,module_id,expected_direction,primary_scorer,discovery_claim_kind,discovery_artifact,eligibility_status,eligibility_reason
muscle,muscle_primary_vascular_endothelium_ifn_i_output,muscle_primary,primary,population,vascular_endothelium,CD4_T,muscle,vascular_and_CD4,IFN_I_OUTPUT,1,scanpy,TS_confirmation,corrected_harmonized_reference_pending,pending,discovery_and_source_gates_pending
muscle,muscle_primary_vascular_endothelium_nfkb_cytokine_output,muscle_primary,primary,population,vascular_endothelium,CD4_T,muscle,vascular_and_CD4,NFKB_CYTOKINE_OUTPUT,1,scanpy,TS_confirmation,corrected_harmonized_reference_pending,pending,discovery_and_source_gates_pending
muscle,muscle_extension_ArtEC_nasp_dna_sensing,muscle_extension,extension,population,ArtEC,CD4_T,muscle,vascular_and_CD4,NASP_DNA_SENSING,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
muscle,muscle_extension_ArtEC_nasp_rna_sensing,muscle_extension,extension,population,ArtEC,CD4_T,muscle,vascular_and_CD4,NASP_RNA_SENSING,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
muscle,muscle_extension_ArtEC_ifn_i_output,muscle_extension,extension,population,ArtEC,CD4_T,muscle,vascular_and_CD4,IFN_I_OUTPUT,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
muscle,muscle_extension_ArtEC_nfkb_cytokine_output,muscle_extension,extension,population,ArtEC,CD4_T,muscle,vascular_and_CD4,NFKB_CYTOKINE_OUTPUT,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
muscle,muscle_extension_CapEC_nasp_dna_sensing,muscle_extension,extension,population,CapEC,CD4_T,muscle,vascular_and_CD4,NASP_DNA_SENSING,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
muscle,muscle_extension_CapEC_nasp_rna_sensing,muscle_extension,extension,population,CapEC,CD4_T,muscle,vascular_and_CD4,NASP_RNA_SENSING,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
muscle,muscle_extension_CapEC_ifn_i_output,muscle_extension,extension,population,CapEC,CD4_T,muscle,vascular_and_CD4,IFN_I_OUTPUT,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
muscle,muscle_extension_CapEC_nfkb_cytokine_output,muscle_extension,extension,population,CapEC,CD4_T,muscle,vascular_and_CD4,NFKB_CYTOKINE_OUTPUT,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
muscle,muscle_extension_VenEC_nasp_dna_sensing,muscle_extension,extension,population,VenEC,CD4_T,muscle,vascular_and_CD4,NASP_DNA_SENSING,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
muscle,muscle_extension_VenEC_nasp_rna_sensing,muscle_extension,extension,population,VenEC,CD4_T,muscle,vascular_and_CD4,NASP_RNA_SENSING,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
muscle,muscle_extension_VenEC_ifn_i_output,muscle_extension,extension,population,VenEC,CD4_T,muscle,vascular_and_CD4,IFN_I_OUTPUT,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
muscle,muscle_extension_VenEC_nfkb_cytokine_output,muscle_extension,extension,population,VenEC,CD4_T,muscle,vascular_and_CD4,NFKB_CYTOKINE_OUTPUT,0,scanpy,new_association,not_applicable,pending,measurement_and_support_pending
