collection_name	dataset_id	n_cells	n_donors	n_cell_types	assays	tissues	diseases	sexes	age_terms	suspension_types	collection_id	dataset_total_cell_count	dataset_h5ad_path
Single-cell analysis of prenatal and postnatal human cortical development	1a38e762-2465-418f-b81c-6a4bce261c34	690663	103	6	10x 3' v2, 10x 3' v3, 10x multiome	cerebral cortex, cingulate cortex, frontal cortex, insular cortex, primary motor cortex, temporal cortex	normal	male & female	prenatal-54yo, fourth LMP month stage (23209), fifth LMP month stage (252789), sixth LMP month stage (25845), seventh LMP month stage (30112), eighth LMP month stage (48889), ninth LMP month stage (34292), infant stage (12842), newborn stage (0-28 days) (9369), 1-month-old stage (19291), 2-month-old stage (6540), 3-month-old stage (10388), 4-month-old stage (4277), 5-month-old stage (10272), 1-year-old stage (25137), 2-year-old stage (22476), 3-year-old stage (6897), 4-year-old stage (9863), 5-year-old stage (2726), 6-year-old stage (14490), 8-year-old stage (6557), 10-year-old stage (4454), 12-year-old stage (13261), 13-year-old stage (10370), 14-year-old stage (6187), 15-year-old stage (9584), 16-year-old stage (7243), 17-year-old stage (6430), 19-year-old stage (8930), 20-year-old stage (12915), 21-year-old stage (3607), 22-year-old stage (4802), 25-year-old stage (5781), 28-year-old stage (3213), 34-year-old stage (2084), 39-year-old stage (1547), 40-year-old stage (5894), 44-year-old stage (1947), 45-year-old stage (2624), 53-year-old stage (2563), 54-year-old stage (966)	nucleus	bacccb91-066d-4453-b70e-59de0b4598cd	709372	1a38e762-2465-418f-b81c-6a4bce261c34.h5ad
Early human lung immune cell development and its role in epithelial cell fate	350237e0-9f48-4cbd-9140-3b44495549f3	654947	44	49	10x 3' v2, 10x 5' transcription profiling	lung	normal	male & female	prenatal-prenatal, Carnegie stage 13 (13267), Carnegie stage 19 (15404), Carnegie stage 20 (61625), Carnegie stage 22 (11418), Carnegie stage 23 (24619), 9th week post-fertilization stage (29010), 10th week post-fertilization stage (27925), 11th week post-fertilization stage (27370), 12th week post-fertilization stage (16475), 13th week post-fertilization stage (86042), 14th week post-fertilization stage (41250), 15th week post-fertilization stage (143989), 16th week post-fertilization stage (35893), 17th week post-fertilization stage (92480), 21st week post-fertilization stage (28180)	cell	ec329aed-22bc-4d6e-8935-8282dcb1acac	670749	350237e0-9f48-4cbd-9140-3b44495549f3.h5ad
Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies	65badd7a-9262-4fd1-9ce2-eb5dc0ca8039	488385	67	10	10x 3' v3	heart left ventricle, heart right ventricle	arrhythmogenic right ventricular cardiomyopathy, dilated cardiomyopathy, non-compaction cardiomyopathy, normal	male & female	neonatal-70yo, postnatal stage (31904), pediatric stage (13831), third decade stage (31410), fourth decade stage (65522), fifth decade stage (145773), sixth decade stage (80871), seventh decade stage (111225), eighth decade stage (7849)	nucleus	e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb	881081	65badd7a-9262-4fd1-9ce2-eb5dc0ca8039.h5ad
Human developing neocortex by area	ae4f8ddd-cac9-4172-9681-2175da462f2e	457965	13	10	10x 3' v2	parietal cortex, prefrontal cortex, primary motor cortex, primary somatosensory cortex, primary visual cortex, temporal cortex	normal	unknown	prenatal-prenatal, 14th week post-fertilization stage (8028), 16th week post-fertilization stage (53747), 17th week post-fertilization stage (4012), 18th week post-fertilization stage (124495), 19th week post-fertilization stage (77534), 20th week post-fertilization stage (82009), 22nd week post-fertilization stage (38386), 25th week post-fertilization stage (69754)	cell	c8565c6a-01a1-435b-a549-f11b452a83a8	457965	ae4f8ddd-cac9-4172-9681-2175da462f2e.h5ad
Tabula Sapiens	53d208b0-2cfd-4366-9866-c3c6114081bc	450846	15	112	10x 3' v3, Smart-seq2	abdominal aorta, adipose tissue, aorta, ascending colon, brown adipose tissue, cardiac atrium, cardiac ventricle, coronary artery, cortex of kidney, duodenum, endocrine pancreas, exocrine pancreas, heart, heart right ventricle, ileum, jejunum, kidney, large intestine, left coronary artery, liver, lung, mucosa of stomach, muscle of abdomen, muscle of pelvic diaphragm, muscularis mucosae of stomach, right cardiac atrium, sigmoid colon, small intestine, stomach, stomach smooth muscle, subcutaneous adipose tissue, thoracic aorta, trachea, vasculature	normal	male & female	33yo-74yo, 33-year-old stage (14438), 36-year-old stage (7888), 37-year-old stage (20594), 38-year-old stage (2113), 45-year-old stage (36163), 56-year-old stage (60692), 59-year-old stage (95746), 60-year-old stage (103923), 61-year-old stage (84636), 67-year-old stage (12606), 74-year-old stage (12047)	cell	e5f58829-1a66-40b5-a624-9046778e74f5	1136218	53d208b0-2cfd-4366-9866-c3c6114081bc.h5ad
Automatic cell-type harmonization and integration across Human Cell Atlas datasets	364bd0c7-f7fd-48ed-99c1-ae26872b1042	437851	32	19	10x 3' v2, 10x 5' v1	heart left ventricle, heart right ventricle, left cardiac atrium, right cardiac atrium	normal	male & female	20yo-75yo, 20-year-old stage (7772), 21-year-old stage (7761), 27-year-old stage (11813), 35-year-old stage (6590), 39-year-old stage (58866), 44-year-old stage (3967), 46-year-old stage (10723), 47-year-old stage (65451), 48-year-old stage (14176), 51-year-old stage (29857), 52-year-old stage (21575), 54-year-old stage (29648), 59-year-old stage (45144), 60-year-old stage (51115), 61-year-old stage (5650), 62-year-old stage (3849), 63-year-old stage (22508), 65-year-old stage (3883), 66-year-old stage (6713), 68-year-old stage (8763), 71-year-old stage (8869), 73-year-old stage (7623), 75-year-old stage (5535)	cell, nucleus	854c0855-23ad-4362-8b77-6b1639e7a9fc	931012	364bd0c7-f7fd-48ed-99c1-ae26872b1042.h5ad
Cells of the adult human heart	d4e69e01-3ba2-4d6b-a15d-e7048f78f22e	404268	14	27	10x 3' v2, 10x 3' v3	apex of heart, heart left ventricle, heart right ventricle, left cardiac atrium, right cardiac atrium	normal	male & female	40yo-70yo, fifth decade stage (51306), sixth decade stage (136065), seventh decade stage (192840), eighth decade stage (24057)	cell, nucleus	b52eb423-5d0d-4645-b217-e1c6d38b2e72	486134	d4e69e01-3ba2-4d6b-a15d-e7048f78f22e.h5ad
Single-cell RNA-seq analysis of Interstitial Lung Disease (ILD) subtypes	f14bc322-1322-4184-8d16-409557525ea5	371954	97	33	10x 5' v2	lung	interstitial lung disease, normal, pulmonary sarcoidosis	male & female, unknown	15yo-74yo, 15-year-old stage (6), 19-year-old stage (6586), 25-year-old stage (2755), 27-year-old stage (247), 29-year-old stage (2770), 34-year-old stage (4889), 35-year-old stage (1022), 40-year-old stage (7516), 43-year-old stage (4908), 44-year-old stage (1192), 45-year-old stage (667), 47-year-old stage (427), 49-year-old stage (1386), 50-year-old stage (9991), 53-year-old stage (5443), 54-year-old stage (5767), 55-year-old stage (6308), 56-year-old stage (6205), 57-year-old stage (3784), 58-year-old stage (16364), 59-year-old stage (14106), 60-year-old stage (8993), 61-year-old stage (26215), 62-year-old stage (15576), 63-year-old stage (3581), 64-year-old stage (11586), 65-year-old stage (30455), 66-year-old stage (8374), 67-year-old stage (26700), 68-year-old stage (18453), 69-year-old stage (36976), 70-year-old stage (16413), 71-year-old stage (10938), 72-year-old stage (3252), 73-year-old stage (5219), 74-year-old stage (1558), unknown (45326)	cell	07e12576-b41b-4350-adfc-059bfc4328ea	471905	f14bc322-1322-4184-8d16-409557525ea5.h5ad
HYPOMAP: A comprehensive spatio-cellularmap of the human hypothalamus	a2c833f7-b7f1-4f4d-ad31-cae478b601b7	311964	8	8	10x 3' v3	hypothalamus	normal	male & female	59yo-94yo, 59-year-old stage (2708), 63-year-old stage (128189), 67-year-old stage (7064), 83-year-old stage (72940), 88-year-old stage (20878), 91-year-old stage (35699), 92-year-old stage (4911), 94-year-old stage (39575)	nucleus	d0941303-7ce3-4422-9249-cf31eb98c480	433369	a2c833f7-b7f1-4f4d-ad31-cae478b601b7.h5ad
Construction of a human cell landscape at single-cell level	2adb1f8a-a6b1-4909-8ee8-484814e2d4bf	303765	31	43	microwell-seq	adipose tissue, artery, ascending colon, brain, cerebellum, duodenum, esophagus, gallbladder, heart, ileum, intestine, jejunum, kidney, liver, lung, pancreas, rectum, sigmoid colon, spinal cord, stomach, trachea, transverse colon	normal	male & female	prenatal-83yo, 10th week post-fertilization stage (1338), 11th week post-fertilization stage (44546), 12th week post-fertilization stage (30380), 13th week post-fertilization stage (23499), 26th week post-fertilization stage (26906), embryonic stage (1322), 21-year-old stage (16259), 23-year-old stage (4384), 36-year-old stage (1372), 41-year-old stage (13333), 43-year-old stage (9727), 45-year-old stage (14344), 46-year-old stage (19601), 47-year-old stage (12503), 49-year-old stage (9603), 51-year-old stage (5765), 52-year-old stage (10366), 55-year-old stage (7324), 56-year-old stage (8668), 57-year-old stage (3849), 59-year-old stage (4669), 62-year-old stage (8076), 64-year-old stage (5549), 66-year-old stage (9153), 83-year-old stage (11229)	cell	38833785-fac5-48fd-944a-0f62a4c23ed1	598266	2adb1f8a-a6b1-4909-8ee8-484814e2d4bf.h5ad
An atlas of healthy and injured cell states and niches in the human kidney (Version 1.5)	a12ccb9b-4fbe-457d-8590-ac78053259ef	287031	79	26	10x 3' v3	cortex of kidney, kidney, renal medulla	acute kidney failure, chronic kidney disease, normal	male & female	14yo-76yo, 14-year-old stage (2135), third decade stage (12594), 29-year-old stage (4718), fourth decade stage (44177), fifth decade stage (24960), 45-year-old stage (3014), sixth decade stage (47254), 54-year-old stage (1897), 57-year-old stage (1377), seventh decade stage (79524), 63-year-old stage (4308), 66-year-old stage (4950), 69-year-old stage (3041), eighth decade stage (33825), 76-year-old stage (19257)	nucleus	0f528c8a-a25c-4840-8fa3-d156fa11086f	304989	a12ccb9b-4fbe-457d-8590-ac78053259ef.h5ad
Single-cell integration reveals metaplasia in inflammatory gut diseases	19053a82-9c89-4fb8-bd19-d7b1800b0b7b	284191	79	84	10x 3' v1, 10x 3' v2, 10x 3' v3, 10x 5' transcription profiling, 10x 5' v1, 10x 5' v2	ascending colon, body of stomach, colon, colonic epithelium, colonic mucosa, duodenum, epithelium of small intestine, epithelium of stomach, esophagus, ileum, ileum lamina propria, intestine, lamina propria of mucosa of colon, lamina propria of small intestine, rectum, sigmoid colon, small intestine, stomach	normal	male & female, unknown	prenatal-87yo, Carnegie stage 16 (8132), 21st week post-fertilization stage (1526), newborn stage (0-28 days) (1413), 2-month-old stage (8099), pediatric stage (8352), juvenile stage (5-14 yo) (14274), adult stage (15970), prime adult stage (31620), 20-year-old stage (479), third decade stage (15683), 22-year-old stage (16), 23-year-old stage (3865), 29-year-old stage (3601), 30-year-old stage (4616), 31-year-old stage (24252), 33-year-old stage (3184), 36-year-old stage (221), 37-year-old stage (255), 41-year-old stage (4013), 43-year-old stage (2009), 44-year-old stage (2170), 45-year-old stage (5427), 46-year-old stage (256), 48-year-old stage (4265), 50-year-old stage (1353), 51-year-old stage (4570), 52-year-old stage (8897), 54-year-old stage (4015), 55-year-old stage (19891), 56-year-old stage (3289), 58-year-old stage (5698), 59-year-old stage (7189), 60-year-old stage (1106), seventh decade stage (12579), 61-year-old stage (1440), 62-year-old stage (3841), 65-year-old stage (3915), 66-year-old stage (4659), 72-year-old stage (8644), 74-year-old stage (12179), 75-year-old stage (2914), 77-year-old stage (1377), 81-year-old stage (2230), 84-year-old stage (2700), 85-year-old stage (1663), 87-year-old stage (6344)	cell	f11cb29c-b546-4738-9bd8-66ea621a7bd5	1596200	19053a82-9c89-4fb8-bd19-d7b1800b0b7b.h5ad
Plaque Atlas	72955cdb-bd92-4135-aa52-21f33f9640db	259116	73	12	10x 3' v2, 10x 3' v3	carotid artery segment, coronary artery, femoral artery	atherosclerosis	male & female, unknown	46yo-89yo, 46-year-old stage (3735), 54-year-old stage (2887), 58-year-old stage (5991), 59-year-old stage (3214), 62-year-old stage (5443), 64-year-old stage (11035), 65-year-old stage (15428), 66-year-old stage (7727), 67-year-old stage (9635), 71-year-old stage (4201), 74-year-old stage (3909), 75-year-old stage (10241), 76-year-old stage (7708), 77-year-old stage (1647), 78-year-old stage (4030), 79-year-old stage (1951), 80-year-old stage (4215), 81-year-old stage (4016), 82-year-old stage (10096), 83-year-old stage (2614), 87-year-old stage (14148), 89-year-old stage (2561), unknown (122684)	cell	db70986c-7d91-49fe-a399-a4730be394ac	259116	72955cdb-bd92-4135-aa52-21f33f9640db.h5ad
